@relation openjpa\Release_3\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
791,888,97,1,7,794,126.85714285714286,847,794,121.0,65,164,No
84,84,0,1,2,84,42.0,84,84,42.0,0,11,No
29,57,28,1,4,29,14.25,29,26,7.25,0,1,No
259,540,281,2,6,260,90.0,267,237,44.5,19,24,No
555,1033,478,1,6,564,172.16666666666666,987,564,164.5,8,90,No
330,649,319,3,8,333,81.125,336,310,42.0,11,8,No
54,120,66,2,5,57,24.0,60,53,12.0,0,5,No
93,93,0,1,2,93,46.5,93,93,46.5,1,5,No
60,60,0,1,2,60,30.0,60,60,30.0,6,9,No
232,232,0,1,2,232,116.0,232,232,116.0,7,10,No
127,140,13,1,4,129,35.0,131,129,32.75,3,10,No
47,95,48,1,4,47,23.75,47,44,11.75,0,5,No
129,201,71,1,7,145,28.714285714285715,170,145,24.285714285714285,2,16,No
88,191,103,2,7,99,27.285714285714285,110,86,15.714285714285714,4,5,No
184,355,171,2,7,170,50.714285714285715,202,158,28.857142857142858,4,14,No
491,1034,542,2,6,495,172.33333333333334,500,488,83.33333333333333,11,71,No
37,55,18,1,5,36,11.0,43,36,8.6,1,4,No
74,86,11,2,5,61,17.2,75,61,15.0,0,8,No
34,66,32,1,4,34,16.5,34,30,8.5,0,2,No
135,290,155,1,5,138,58.0,143,130,28.6,1,13,No
107,213,105,1,4,108,53.25,108,102,27.0,3,12,No
67,110,43,1,7,75,15.714285714285714,105,75,15.0,2,1,No
86,86,0,1,2,86,43.0,86,86,43.0,0,7,No
71,83,12,2,4,72,20.75,73,72,18.25,0,7,No
957,957,0,1,2,957,478.5,957,957,478.5,25,87,No
32,64,32,1,4,32,16.0,32,29,8.0,0,6,No
38,75,37,1,4,38,18.75,38,35,9.5,0,1,No
40,81,41,1,4,40,20.25,40,37,10.0,0,3,No
128,129,1,1,3,129,43.0,130,129,43.333333333333336,5,15,No
114,233,119,2,7,110,33.285714285714285,122,102,17.428571428571427,2,9,No
51,51,0,1,2,51,25.5,51,51,25.5,1,7,No
53,102,48,1,5,62,20.4,72,62,14.4,0,4,No
608,609,0,1,2,609,304.5,609,609,304.5,18,59,No
653,1444,790,1,5,723,288.8,792,649,158.4,0,81,No
104,156,52,2,7,105,22.285714285714285,132,105,18.857142857142858,2,13,No
67,67,0,1,2,67,33.5,67,67,33.5,0,7,No
166,166,0,1,2,166,83.0,166,166,83.0,7,10,No
44,44,0,1,2,44,22.0,44,44,22.0,0,4,No
34,67,33,1,4,34,16.75,34,31,8.5,0,3,No
140,217,77,2,7,97,31.0,142,58,20.285714285714285,6,14,No
167,181,14,2,3,170,60.333333333333336,173,170,57.666666666666664,9,20,No
169,173,4,2,3,169,57.666666666666664,169,169,56.333333333333336,2,2,No
44,44,0,1,2,44,22.0,44,44,22.0,0,1,No
321,321,0,1,2,321,160.5,321,321,160.5,18,29,No
65,65,0,1,2,65,32.5,65,65,32.5,2,6,No
149,297,148,1,5,150,59.4,151,142,30.2,6,13,No
87,175,88,1,4,88,43.75,89,83,22.25,0,0,No
311,322,11,2,4,309,80.5,311,309,77.75,3,14,No
275,397,122,1,5,314,79.4,369,314,73.8,5,21,No
88,179,90,1,4,90,44.75,91,85,22.75,0,0,No
49,97,48,1,4,49,24.25,49,46,12.25,0,1,No
165,193,27,2,5,163,38.6,166,163,33.2,7,31,No
119,122,3,2,3,119,40.666666666666664,119,119,39.666666666666664,6,10,No
76,152,76,1,4,77,38.0,78,72,19.5,0,1,No
69,94,25,1,5,73,18.8,85,73,17.0,0,6,No
48,48,0,1,2,48,24.0,48,48,24.0,0,1,No
110,110,0,1,2,110,55.0,110,110,55.0,4,5,No
259,259,0,1,2,259,129.5,259,259,129.5,11,24,No
249,498,248,1,4,251,124.5,252,241,63.0,8,33,No
204,596,392,3,11,273,54.18181818181818,344,260,31.272727272727273,5,12,No
95,95,0,1,2,95,47.5,95,95,47.5,0,4,No
38,77,38,1,4,39,19.25,39,35,9.75,0,1,No
58,58,0,1,2,58,29.0,58,58,29.0,4,1,No
35,71,36,1,4,36,17.75,37,31,9.25,0,0,No
111,225,114,1,5,113,45.0,115,107,23.0,5,7,No
