Version,File Name,LOC,LOC_added,LOC_deleted,NAuth,NR,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_churn,Fan_Out,Method_Number,Buggy
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,35,36,1,2,2,35,18.0,35,35,17.5,0,4,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,231,243,12,2,5,224,48.6,231,224,46.2,13,7,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,742,3,6,763,139.0,1442,763,240.33333333333334,3,3,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,3,2,2,50,26.5,50,50,25.0,2,1,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,29,30,1,2,2,29,15.0,29,29,14.5,0,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,37,40,3,2,2,37,20.0,37,37,18.5,0,2,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,195,15,2,4,168,48.75,180,168,45.0,2,12,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,0,1,1,147,147.0,147,147,147.0,1,17,No
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,98,99,1,2,2,98,49.5,98,98,49.0,0,19,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,3,2,2,149,76.0,149,149,74.5,1,18,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,45,45,0,1,1,45,45.0,45,45,45.0,1,3,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,105,148,43,3,5,103,29.6,105,103,21.0,13,5,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,279,52,2,3,226,93.0,227,226,75.66666666666667,18,10,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,4,2,2,98,51.0,98,98,49.0,4,5,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,107,11,2,4,95,26.75,96,95,24.0,3,10,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,61,1,2,2,60,30.5,60,60,30.0,2,5,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,68,79,11,2,2,68,39.5,68,68,34.0,3,6,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,4,2,2,74,39.0,74,74,37.0,2,10,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,80,3,9,573,75.88888888888889,607,573,67.44444444444444,26,25,Yes
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,62,62,0,1,1,62,62.0,62,62,62.0,1,4,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,84,93,9,2,4,83,23.25,84,83,21.0,3,5,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,164,7,3,3,151,54.666666666666664,157,151,52.333333333333336,6,27,No
0,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,35,35,0,1,1,35,35.0,35,35,35.0,1,2,No
0,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,41,42,1,2,2,41,21.0,41,41,20.5,1,4,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,181,4,2,3,176,60.333333333333336,177,176,59.0,12,17,Yes
0,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,66,79,13,2,2,65,39.5,66,65,33.0,3,6,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,133,49,2,3,83,44.333333333333336,84,83,28.0,2,6,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,10,2,3,38,16.333333333333332,39,38,13.0,0,3,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,53,0,1,1,53,53.0,53,53,53.0,1,2,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,197,208,11,3,4,187,52.0,197,187,49.25,9,21,No
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,0,1,1,72,72.0,72,72,72.0,0,7,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,91,96,5,2,2,91,48.0,91,91,45.5,2,7,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,232,63,3,9,140,25.77777777777778,171,140,19.0,3,6,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,22,22,0,1,1,22,22.0,22,22,22.0,1,2,No
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,288,40,3,7,198,41.142857142857146,252,198,36.0,14,16,Yes
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,0,1,1,193,193.0,193,193,193.0,7,14,No
0,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,50,50,0,1,1,50,50.0,50,50,50.0,3,9,No
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,74,76,2,2,2,73,38.0,74,73,37.0,0,3,No
