@relation bookkeeper\Release_3\train
@attribute LOC numeric
@attribute LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute N_AUTH numeric
@attribute NR numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FAN_OUT numeric
@attribute METHOD_COMPLEXITY numeric
@attribute IS_BUGGY {'Yes', 'No'}
@data
35,36,1,2,2,35,18.0,35,35,17.5,0,4,No
231,243,12,2,5,224,48.6,231,224,46.2,13,7,Yes
92,834,742,3,6,763,139.0,1442,763,240.33333333333334,3,3,No
50,53,3,2,2,50,26.5,50,50,25.0,2,1,No
29,30,1,2,2,29,15.0,29,29,14.5,0,2,No
37,40,3,2,2,37,20.0,37,37,18.5,0,2,No
180,195,15,2,4,168,48.75,180,168,45.0,2,12,No
147,147,0,1,1,147,147.0,147,147,147.0,1,17,No
98,99,1,2,2,98,49.5,98,98,49.0,0,19,No
149,152,3,2,2,149,76.0,149,149,74.5,1,18,No
45,45,0,1,1,45,45.0,45,45,45.0,1,3,No
105,148,43,3,5,103,29.6,105,103,21.0,13,5,No
227,279,52,2,3,226,93.0,227,226,75.66666666666667,18,10,No
98,102,4,2,2,98,51.0,98,98,49.0,4,5,No
96,107,11,2,4,95,26.75,96,95,24.0,3,10,No
60,61,1,2,2,60,30.5,60,60,30.0,2,5,No
68,79,11,2,2,68,39.5,68,68,34.0,3,6,No
74,78,4,2,2,74,39.0,74,74,37.0,2,10,No
603,683,80,3,9,573,75.88888888888889,607,573,67.44444444444444,26,25,Yes
62,62,0,1,1,62,62.0,62,62,62.0,1,4,No
84,93,9,2,4,83,23.25,84,83,21.0,3,5,No
157,164,7,3,3,151,54.666666666666664,157,151,52.333333333333336,6,27,Yes
35,35,0,1,1,35,35.0,35,35,35.0,1,2,Yes
41,42,1,2,2,41,21.0,41,41,20.5,1,4,No
177,181,4,2,3,176,60.333333333333336,177,176,59.0,12,17,Yes
66,79,13,2,2,65,39.5,66,65,33.0,3,6,No
